frequency_original_axis,alpha2F_derived,phonon_DOS_original_ordinate_units,source_row_zero_based
0,0,1.54621e-13,0
0.001639,3.3605439999999998e-86,7.6351609999999996e-10,1
0.0032783399999999998,3.3605439999999998e-86,3.0540879999999999e-09,2
0.0049176699999999999,3.3605439999999998e-86,6.8717170000000002e-09,3
0.0065570100000000003,3.3605439999999998e-86,1.22164e-08,4
0.0081963399999999999,3.3605439999999998e-86,1.908814e-08,5
0.0098356799999999994,3.3605439999999998e-86,2.7486940000000001e-08,6
0.010005,3.3605439999999998e-86,2.8512159999999999e-08,7
0.011475000000000001,3.3605439999999998e-86,3.7412789999999998e-08,8
0.013114300000000001,3.3605439999999998e-86,4.8865699999999999e-08,9
0.0147537,3.3605439999999998e-86,6.1845670000000004e-08,10
0.016393000000000001,3.3605439999999998e-86,7.6352689999999996e-08,11
0.018032400000000001,3.3605439999999998e-86,9.2386770000000005e-08,12
0.0196717,3.3605439999999998e-86,1.0994789999999999e-07,13
0.020010010000000002,3.3605439999999998e-86,1.138872e-07,14
0.021311,3.3605439999999998e-86,1.2903610000000001e-07,15
0.022950399999999999,3.3605439999999998e-86,1.496513e-07,16
0.024589699999999999,3.3605439999999998e-86,1.7179359999999999e-07,17
0.026228999999999999,3.3605439999999998e-86,1.9546300000000001e-07,18
0.027868400000000002,3.3605439999999998e-86,2.2065940000000001e-07,19
0.029507700000000001,3.3605439999999998e-86,2.4738290000000002e-07,20
0.030015010000000002,3.3605439999999998e-86,2.5612549999999999e-07,21
0.031147000000000001,3.3605439999999998e-86,2.7563339999999999e-07,22
0.0327864,3.3605439999999998e-86,3.0541100000000001e-07,23
0.034425699999999997,3.3605439999999998e-86,3.3671559999999999e-07,24
0.036065,3.3605439999999998e-86,3.6954730000000002e-07,25
0.037704399999999999,3.3605439999999998e-86,4.0390610000000001e-07,26
0.039343700000000002,3.3605439999999998e-86,4.3979190000000001e-07,27
0.040020010000000002,3.3605439999999998e-86,4.55227e-07,28
0.040982999999999999,3.3605439999999998e-86,4.7720480000000001e-07,29
0.042622399999999998,3.3605439999999998e-86,5.1614469999999996e-07,30
0.044261700000000001,3.3605439999999998e-86,5.5661169999999998e-07,31
0.045900999999999997,3.3605439999999998e-86,5.986057e-07,32
0.047540399999999997,3.3605439999999998e-86,6.4212679999999998e-07,33
0.0491797,3.3605439999999998e-86,6.8717489999999997e-07,34
